EmployeeID,FirstName,LastName,Department,Salary
1,Queen,Rodriguez,Tools,118574
2,Ciara,Farrell,Kids,72448
3,Nicole,Goodwin,Electronics,60011
4,Federico,Hodkiewicz,Movies,141949
5,Rachael,Sporer,Outdoors,101735
6,Tania,Purdy,Industrial,104621
7,Noemy,Leffler,Automotive,53719
8,Carlo,Cassin,Garden,73520
9,Jaron,Connelly,Books,117163
10,Mellie,Trantow,Health,54511
11,Samson,Gulgowski-White,Toys,88053
12,Colten,Nienow,Grocery,128089
13,Logan,Kuvalis,Jewelery,87831
14,Geovanni,O'Reilly,Baby,148223
15,Travis,Johns,Shoes,144831
16,Adonis,Schuppe,Baby,86266
17,Pearlie,Kemmer,Baby,149462
18,Jewell,Fritsch-Reynolds,Automotive,71219
19,Keshaun,Lebsack-Bins,Movies,147455
20,Mohamed,Hickle,Movies,148136
21,Brandy,Carroll,Toys,138416
22,Linnie,Yundt,Shoes,54187
23,Rebeka,Tromp,Garden,142887
24,Alvis,Marks,Industrial,64027
25,Dillan,Mraz,Computers,129017
26,Dan,Labadie,Beauty,69309
27,Jany,Morissette,Clothing,110953
28,Kelli,Carter,Baby,106264
29,Evelyn,Aufderhar,Shoes,86485
30,Karson,Crist,Clothing,113884
31,Brain,Murray,Sports,105126
32,Skye,Littel,Health,138550
33,Thelma,Rath,Sports,52293
34,Kim,Moore,Shoes,130297
35,Amely,Kunde,Computers,116689
36,Bulah,Bradtke,Games,145420
37,Joshua,Shields,Automotive,127816
38,Marjorie,Wilderman,Games,52180
39,Jordy,Torp,Beauty,102431
40,Flossie,Casper,Games,110250
41,Yvonne,Graham,Books,66977
42,Rodolfo,Haley,Movies,121371
43,Josiane,Sanford,Outdoors,88181
44,Abigale,Kassulke,Industrial,84004
45,Ron,Price,Clothing,77497
46,Destiny,Frami,Outdoors,102202
47,Jarrell,Moen,Computers,126176
48,Sheldon,Quitzon,Games,83046
49,Deangelo,Rohan,Music,110747
50,Emely,Doyle,Jewelery,93238
51,Mauricio,Bergstrom,Toys,111987
52,Xander,Ratke,Electronics,105697
53,Yasmeen,Anderson,Home,68686
54,Kristin,Schultz,Jewelery,121397
55,Kenyatta,Walter,Tools,144739
56,Eleanora,King,Outdoors,119640
57,Coleman,Mraz,Books,57079
58,Enrico,Kilback,Games,133517
59,Leilani,Lebsack,Automotive,134752
60,Conrad,Schulist,Sports,129701
61,Godfrey,Cole,Clothing,102872
62,Diana,Halvorson,Garden,57475
63,Minnie,Collier,Tools,142796
64,Tessie,Witting,Beauty,116630
65,Lurline,Towne,Automotive,61464
66,Pietro,West,Electronics,94838
67,Ellie,Ankunding,Automotive,62659
68,Shyann,Feil,Health,119851
69,Columbus,Ernser,Music,67129
70,Francisca,Erdman,Tools,54541
71,Kendall,Klein,Games,112115
72,Tracey,Bahringer,Music,101548
73,Reina,Satterfield,Movies,134594
74,Ashlee,White,Electronics,140555
75,Jaquelin,Douglas,Jewelery,112210
76,Lester,Aufderhar,Tools,53333
77,Rylan,Rodriguez,Outdoors,141297
78,Patricia,Fadel,Beauty,53109
79,Modesta,Hauck,Jewelery,73225
80,Mya,Parisian,Industrial,93356
81,Raquel,Schmitt,Garden,59612
82,Karina,Leannon,Shoes,54632
83,Ansley,Rippin,Music,84299
84,Alvera,Kirlin,Computers,110073
85,Shaina,Murazik,Music,122819
86,Gregorio,Konopelski,Industrial,59074
87,Lizeth,Conn,Automotive,127567
88,Alyce,Donnelly,Shoes,149759
89,Murphy,Pagac,Shoes,99336
90,Isaiah,Jacobs,Outdoors,137064
91,Nora,Pagac,Sports,144063
92,Aniya,Dickens,Garden,82898
93,Darian,Pagac,Shoes,110862
94,Mollie,Christiansen,Toys,138022
95,Mayra,Adams,Clothing,57188
96,Dallas,Cassin,Electronics,121570
97,Tyshawn,Farrell,Books,118723
98,Kaia,Satterfield,Jewelery,79272
99,Daisy,Walter,Kids,81125
100,Guy,Bradtke,Jewelery,116127
101,Annette,Miller,Kids,149545
102,Romaine,Emard,Garden,92530
103,Vivian,Weissnat,Books,107145
104,Fanny,Bechtelar,Jewelery,62363
105,Murray,Hyatt,Automotive,89626
106,Maia,Miller,Grocery,111458
107,Blanca,Hills,Books,111696
108,Dwight,Harvey,Movies,143292
109,Baby,Dietrich,Automotive,123208
110,Glenda,Block,Automotive,107038
111,Kailee,Champlin,Music,141596
112,Tess,Weber,Shoes,54392
113,Asa,Windler,Shoes,136004
114,Michaela,Spinka,Music,60391
115,Dagmar,Fay,Garden,101060
116,Agustina,Walter,Electronics,62965
